Day,Portfolio value
2025-01-01,49126.23
2025-01-02,49588.54
2025-01-03,49650.59
2025-01-06,50342
2025-01-07,50155.01
2025-01-08,50278.17
2025-01-09,50312.24
2025-01-10,49994.64
2025-01-13,49739.59
2025-01-14,49682.37
2025-01-15,50434.27
2025-01-16,50876.92
2025-01-17,51166.57
2025-01-20,51290.45
2025-01-21,51488.5
2025-01-22,52119.97
2025-01-23,52075.24
2025-01-24,52360.81
2025-01-27,50947.54
2025-01-28,51205.6
2025-01-29,51496.7
2025-01-30,51722.79
2025-01-31,52173.86
2025-02-03,51651.1
2025-02-04,51806
2025-02-05,51653.14
2025-02-06,51985.3
2025-02-07,52013.46
2025-02-10,52435.22
2025-02-11,52675.42
2025-02-12,52430.33
2025-02-13,52767.53
2025-02-14,52796.15
2025-02-17,53896.39
2025-02-18,54118.42
2025-02-19,54153.84
2025-02-20,53277.41
2025-02-21,53237.28
2025-02-24,53013.22
2025-02-25,52350.39
2025-02-26,53027
2025-02-27,52906.9
2025-02-28,52421.76
2025-03-03,53620.27
2025-03-04,52646.35
2025-03-05,53734.24
2025-03-06,53478.3
2025-03-07,52498.6
2025-03-10,52436.51
2025-03-11,52065.02
2025-03-12,52830.12
2025-03-13,53022.23
2025-03-14,53951.14
2025-03-17,54120.17
2025-03-18,54439.52
2025-03-19,54220.3
2025-03-20,53473.99
2025-03-21,52712.41
2025-03-24,53393.46
2025-03-25,53364.08
2025-03-26,53604.37
2025-03-27,53344.89
2025-03-28,52003.08
2025-03-31,51914.67
2025-04-01,52628.65
2025-04-02,52001.79
2025-04-03,51013.11
2025-04-04,48286.6
2025-04-07,47124.8
2025-04-08,48494.23
2025-04-09,47975.06
2025-04-10,49105.53
2025-04-11,48959.07
2025-04-14,50661.96
2025-04-15,51968.74
2025-04-16,51372.58
2025-04-17,50795.47
2025-04-18,50735.87
2025-04-21,50799.4
2025-04-22,50335.81
2025-04-23,50886.49
2025-04-24,51478.59
2025-04-25,51574.8
2025-04-28,50721.23
2025-04-29,52669.2
2025-04-30,53275.04
2025-05-01,53289.61
2025-05-02,55262.94
2025-05-05,55903.51
2025-05-06,56149.73
2025-05-07,55755.06
2025-05-08,57565.87
2025-05-09,60458.78
2025-05-12,60207.29
2025-05-13,60905.57
2025-05-14,60787.66
2025-05-15,61776.45
2025-05-16,62429.42
2025-05-19,62965.34
2025-05-20,63237.84
2025-05-21,63409.27
2025-05-22,62871.76
2025-05-23,62376.51
2025-05-26,63697.17
2025-05-27,64850.33
2025-05-28,64845.29
2025-05-29,64472.06
2025-05-30,64321.17
2025-06-02,63422.44
2025-06-03,64269.68
2025-06-04,64123.84
2025-06-05,65332.26
2025-06-06,64087.7
2025-06-09,64158.08
2025-06-10,62814.6
2025-06-11,66728.87
2025-06-12,66676.91
2025-06-13,67107.87
